// Duplicates
6-178.023590087891-774.926208496094	Skoda Fabia Rally
6-178.023590087891-774.926208496094	Subaru WRX STX Rallycross

// Duplicates
5-209.439514160156-837.758056640625	Peugeot 205 T16
5-209.439514160156-837.758056640625	Peugeot 205 T16 Evo 2
5-209.439514160156-837.758056640625	Peugeot 205 T16 Rallycross

// Duplicates
6-209.439514160156-874.409973144531	Audi S1 EKS RX Quattro/Volkswagen Polo R4 Supercar
6-209.439514160156-874.409973144531	Audi S1 EKS RX Quattro
6-209.439514160156-874.409973144531	Volkswagen Polo R4 Supercar

// Duplicates
6-188.495559692383-837.758056640625	Ford Fiesta Rallycross
6-188.495559692383-837.758056640625	Ford Fiesta Rallycross (Stard)
6-188.495559692383-837.758056640625	Ford Fiesta RXS EVO 5

4-83.7758026123047-733.038269042969	Mini Cooper S
4-104.719757080078-628.318542480469	DS 21
4-99.483772277832-680.678466796875	Lancia Fulvia HF
5-94.2477798461914-785.398193359375	Volkswagen Golf GTI 16V
5-125.663711547852-733.038269042969	Peugeot 205 GTI
5-125.663711547852-994.837707519531	Ford Escort Mk II
5-167.551605224609-837.758056640625	Alpine Renault A110 1600 S
5-178.023590087891-837.758056640625	Subaru WRX STI NR4
5-157.079635620117-942.477783203125	Opel Kadett C GT/E
6-115.191734313965-932.005859375	BMW E30 M3 Evo Rally
5-136.135681152344-785.398193359375	Opel Ascona 400
5-104.719757080078-890.117980957031	Lancia Stratos
5-80.4247741699219-779.743286132813	Datsun 240Z
5-151.843658447266-837.758056640625	Renault 5 Turbo
5-115.191734313965-785.398193359375	Ford Sierra Cosworth RS500
6-198.967544555664-1151.91735839844	Peugeot 306 Maxi
6-136.135681152344-942.477783203125	Seat Ibiza Kit Car
6-125.663711547852-942.477783203125	Volkswagen Golf Kitcar
5-125.663711547852-890.117980957031	Lancia 037 Evo 2
5-146.607666015625-816.814147949219	Opel Manta 400
5-157.079635620117-968.657775878906	BMW M1 Procar Rally
5-136.135681152344-837.758056640625	Porsche 911 SC RS
5-136.135681152344-942.477783203125	Audi Sport Quattro S1 E2
5-125.663711547852-942.477783203125	Ford RS200
5-109.955741882324-994.837707519531	MG Metro 6R4
5-157.079635620117-816.814147949219	Ford Fiesta R2
5-178.023590087891-905.825927734375	Opel Adam R2
6-115.191734313965-733.038269042969	Subaru Impreza 1995
6-202.423294067383-791.157775878906	Subaru Legacy RS
6-104.719757080078-785.398193359375	Lancia Delta HF Integrale
7-146.607666015625-733.038269042969	Ford Escort RS Cosworth
6-188.495559692383-774.926208496094	Citroën C4 Rally
6-207.345123291016-816.814147949219	Subaru Impreza S4 Rally
6-204.203536987305-837.758056640625	Subaru Impreza (2001)
5-186.924774169922-769.690246582031	Ford Focus RS Rally 2007
6-219.911483764648-785.398193359375	Subaru Impreza
5-157.079635620117-680.678466796875	Peugeot 206 Rally
5-188.495559692383-774.926208496094	Ford Fiesta R5
5-219.911483764648-837.758056640625	Mitsubishi Space Star R5
5-185.877578735352-743.510314941406	Citroën C3 R5
5-183.259567260742-774.926208496094	Ford Fiesta R5 MKII
6-178.023590087891-759.218200683594	Chevrolet Camaro GT4.R
6-188.495559692383-942.477783203125	Porsche 911 RGT Rally Spec
6-146.607666015625-863.938049316406	Ford Mustang GT4
6-104.719757080078-733.038269042969	Aston Martin V8 Vantage GT4
6-261.799407958984-785.398193359375	Mini Cooper SX1
6-172.78759765625-785.398193359375	Ford Fiesta Rallycross MK7
6-188.495559692383-994.837707519531	Volkswagen Polo S1600
6-198.967544555664-968.657775878906	Renault Sport Clio R.S. S1600
6-198.967544555664-994.837707519531	Opel Corsa Super 1600
6-161.268417358398-1598.54711914063	Speedcar Xtrem
5-167.551605224609-942.477783203125	Ford RS200 Evolution
5-115.191734313965-994.837707519531	MG Metro 6R4 Rallycross
6-167.551605224609-837.758056640625	Ford Fiesta Omse Supercar Lites
5-172.78759765625-816.814147949219	Renault Sport Megane RS RX

